part,game,mono_consistent,cstar_min,cstar_max,loss_min,loss_max,cstar_N1,cstar_Nlast,loss_N1,loss_Nlast,spearman_rho,has_reversal
a,0,1.0,0.13706383243882644,1.9241665336919471,0.06793755949159905,0.8780667631725946,,,,,,
a,1,1.0,0.12660742342121795,1.7836872790750031,0.06420142173733122,0.8449690161773059,,,,,,
a,2,1.0,0.13566405113171331,1.9158568511840872,0.06927749949485557,0.9217894232769699,,,,,,
a,3,1.0,0.10823320240298766,1.5449233710723587,0.05297825645231035,0.7077085038342809,,,,,,
a,4,1.0,0.12215259530666986,1.7293304719754607,0.05928932084283885,0.7859299283419503,,,,,,
a,5,1.0,0.12819245876655314,1.8049277160870785,0.06170018636559231,0.8205698736515331,,,,,,
a,6,1.0,0.1348236078302326,1.8764658522560247,0.06536642509156838,0.863164051256749,,,,,,
a,7,1.0,0.12777607049448642,1.8078588852885504,0.06551294265969973,0.8798124410764067,,,,,,
a,8,1.0,0.13371667875496404,1.89561257611592,0.07001935595547037,0.9285916423534089,,,,,,
a,9,1.0,0.13856944478370903,1.8938807231886985,0.06402146566923322,0.8317302169362165,,,,,,
a,10,1.0,0.12400420427197581,1.7437771147928736,0.05938875401428729,0.7861342705904995,,,,,,
a,11,1.0,0.12457153159066398,1.7865772601038443,0.06393870320056759,0.8781785587049722,,,,,,
a,12,1.0,0.1426398797311976,1.9720121695406532,0.07320087870878189,0.9567355606182099,,,,,,
a,13,1.0,0.1357882862596589,1.9021571554924903,0.0675213632469493,0.8984661827993331,,,,,,
a,14,1.0,0.13137794218645402,1.8556060194586488,0.06776021476194645,0.9102710156523485,,,,,,
a,15,1.0,0.11490077690557841,1.6307915207039705,0.058424885978642586,0.7853331656733639,,,,,,
a,16,1.0,0.11027360037698847,1.6007587258385596,0.05327601380623394,0.7403115419430191,,,,,,
a,17,1.0,0.12082457242290527,1.691955522782845,0.06020418790648966,0.8046199473092114,,,,,,
a,18,1.0,0.13823765062265558,1.9073580308545928,0.07748938416131008,1.0064449594032425,,,,,,
a,19,1.0,0.13550037293741016,1.8876277808866913,0.0683737774344235,0.9111134230530774,,,,,,
a,20,1.0,0.13108102411473335,1.8534512474667406,0.06635181322098269,0.9018095422404281,,,,,,
a,21,1.0,0.12615173733115737,1.7409529083484592,0.05967126746389688,0.8007235252898615,,,,,,
a,22,1.0,0.12443898145175783,1.7587420603716526,0.06520224949865681,0.8681292122924138,,,,,,
a,23,1.0,0.13335489371339326,1.8806125215342704,0.06295035801202499,0.8398411382269981,,,,,,
a,24,1.0,0.1175654968637311,1.6466190661684674,0.05529499937435385,0.7413364303007698,,,,,,
a,25,1.0,0.12213331906473712,1.713005583927822,0.060588223340664896,0.8267288290842616,,,,,,
a,26,1.0,0.1375887231987096,1.9013252159708312,0.07112123423657142,0.918343576930267,,,,,,
a,27,1.0,0.11424086283619937,1.6440642141182995,0.05581885899365646,0.760194095885017,,,,,,
a,28,1.0,0.13752603623207127,1.924065505644048,0.06501116331386829,0.8462110175730599,,,,,,
a,29,1.0,0.12640235497714902,1.779544438622009,0.06509005177212683,0.8746662565756105,,,,,,
a,30,1.0,0.13134347881975927,1.8483082898009713,0.0656091057596993,0.8751747843589139,,,,,,
a,31,1.0,0.1365709923830332,1.8964604392678979,0.06704242984893496,0.8846609371898729,,,,,,
a,32,1.0,0.12919713763640048,1.813544135302772,0.06588339865379103,0.880628734559277,,,,,,
a,33,1.0,0.12748451073286962,1.7531543640117426,0.06404239863690873,0.8423749569627893,,,,,,
a,34,1.0,0.12043909106534863,1.731009342480851,0.05633786536030644,0.7769236949721888,,,,,,
a,35,1.0,0.1378209314597603,1.9094733141378277,0.06852569827963786,0.9123123150693859,,,,,,
a,36,1.0,0.12486642330708962,1.7417356350079933,0.06693466656315399,0.8956173595494235,,,,,,
a,37,1.0,0.13575099672464985,1.8890810536074836,0.06996663892662965,0.9254869155577343,,,,,,
a,38,1.0,0.12567003264283033,1.7596862217414497,0.06392323892934905,0.8610020018020622,,,,,,
a,39,1.0,0.1316407974384391,1.8565054672568713,0.06170990587776366,0.8381889321530603,,,,,,
a,40,1.0,0.10883885561508229,1.5608311296592419,0.0537903365821066,0.7319156667271395,,,,,,
a,41,1.0,0.11641050902849423,1.6307878815722447,0.05385375586927966,0.7303345998564353,,,,,,
a,42,1.0,0.13383047355469083,1.868673062121367,0.06479683580953487,0.8475783944893076,,,,,,
a,43,1.0,0.12346474803934614,1.7153612357145582,0.06461148516771352,0.8441135468896912,,,,,,
a,44,1.0,0.12565351046600884,1.7742520481774593,0.05895883267244635,0.7848096261748702,,,,,,
a,45,1.0,0.11572633758446382,1.6290269765895429,0.05835783226138999,0.7856653107873038,,,,,,
a,46,1.0,0.1275332873811217,1.7888775293333885,0.06524612647996333,0.849346464688075,,,,,,
a,47,1.0,0.11865116065454166,1.6936355930206288,0.05608131646597643,0.7507267864204822,,,,,,
a,48,1.0,0.1364810206593296,1.9127944519676725,0.06602115264062587,0.8755064335255679,,,,,,
